area,ïΩê¨ÇQÇRîNìx,ÇQÇSîNìx,ÇQÇTîNìx,ÇQÇUîNìx,ÇQÇVîNìx,ÇQÇWîNìx,ÇQÇXîNìx,ÇRÇOîNìx,óﬂòaå≥îNìx
1 ñkã„èBés,"7,627","7,458","7,625","7,752","7,899","8,037","8,106","8,122","8,298"
2 ïüâ™és,"7,766","7,714","7,975","8,021","8,266","8,334","8,468","8,467","8,485"
3 ëÂñ¥ìcés,"6,890","6,912","7,261","7,379","7,496","7,314","7,526","7,593","7,574"
4 ãvóØïƒés,"5,974","6,052","6,571","6,611","6,593","6,714","6,626","6,684","6,657"
5 íºï˚és,"6,445","6,299","6,422","6,680","6,729","7,106","6,980","7,075","7,107"
6 î—íÀés,"6,049","5,984","6,283","6,313","6,401","6,723","6,761","6,874","6,810"
7 ìcêÏés,"5,573","5,951","5,989","5,974","5,907","5,927","6,091","6,183","6,320"
8 ñˆêÏés,"5,669","5,690","5,989","6,095","6,211","6,235","6,367","6,092","6,230"
9 î™èóés,"5,242","5,210","5,523","5,592","5,806","5,639","5,528","5,721","5,593"
10 í}å„és,"7,329","6,862","6,840","6,762","7,849","7,782","8,121","8,593","8,171"
11 ëÂêÏés,"5,598","5,187","5,516","5,682","5,753","5,689","5,799","6,020","5,857"
12 çsã¥és,"5,474","6,128","6,342","6,048","6,920","6,642","7,878","7,064","6,702"
13 ñLëOés,"8,267","7,326","7,781","8,702","8,323","7,588","7,916","6,445","6,449"
14 íÜä‘és,"6,262","6,329","6,357","6,543","6,196","6,669","6,686","6,622","6,598"
15 è¨åSés,"7,608","6,878","7,030","6,914","7,473","7,079","6,907","6,737","6,692"
16 í}éáñÏés,"15,913","17,016","13,118","11,511","12,942","13,804","15,230","15,387","13,065"
17 ètì˙és,"7,493","7,537","7,559","7,408","7,283","7,318","7,088","7,052","6,961"
18 ëÂñÏèÈés,"6,206","5,918","6,081","6,240","6,403","6,412","6,402","6,389","6,633"
19 è@ëúés,"7,164","7,002","7,073","6,978","6,993","6,955","6,913","6,797","6,691"
20 ëæç…ï{és,"6,784","8,275","6,932","7,067","6,982","7,848","7,553","7,416","7,472"
21 å√âÍés,"8,091","8,100","8,758","8,618","8,682","8,596","8,301","8,376","8,568"
22 ïüí√és,"7,221","6,580","7,137","7,269","6,968","7,196","7,181","6,951","6,891"
23 Ç§Ç´ÇÕés,"5,447","5,274","5,905","6,207","6,186","5,927","5,991","6,092","6,015"
